,"OutDegree, Distance, PRINCE, ModPRINCE, CheiRank, Cycles, SCC","PRINCE, ModPRINCE, CheiRank","ModPRINCE, CheiRank",CheiRank
"263, 275",35.0,56.0,56.0,56.0
"257, 275",37.0,71.0,71.0,71.0
"254, 275",52.0,69.0,69.0,69.0
"251, 275",88.0,96.0,98.0,99.0
"248, 275",34.0,53.0,72.0,87.0
"242, 275",35.0,76.0,76.0,76.0
"239, 275",79.0,94.0,94.0,94.0
"230, 275",21.0,86.0,86.0,86.0
"227, 275",61.0,85.0,89.0,89.0
"212, 275",16.0,40.0,54.0,54.0
"209, 275",12.0,36.0,46.0,47.0
"200, 275",17.0,54.0,56.0,56.0
"197, 275",10.0,62.0,62.0,62.0
"161, 275",8.0,14.0,36.0,36.0
"158, 275",72.0,72.0,81.0,83.0
"257, 263",33.0,33.0,33.0,33.0
"254, 263",24.0,24.0,24.0,24.0
"251, 263",81.0,87.0,90.0,90.0
"248, 263",31.0,35.0,38.0,56.0
"242, 263",39.0,39.0,39.0,39.0
"239, 263",73.0,73.0,73.0,73.0
"230, 263",37.0,54.0,54.0,54.0
"227, 263",52.0,62.0,62.0,62.0
"212, 263",11.0,15.0,15.0,15.0
"209, 263",6.0,6.0,6.0,6.0
"200, 263",10.0,18.0,18.0,18.0
"197, 263",12.0,21.0,21.0,21.0
"161, 263",3.0,3.0,3.0,3.0
"158, 263",47.0,47.0,47.0,47.0
"251, 257",84.0,94.0,95.0,96.0
"248, 257",29.0,51.0,57.0,73.0
"239, 257",84.0,84.0,84.0,84.0
"230, 257",6.0,71.0,71.0,71.0
"227, 257",57.0,76.0,76.0,76.0
"212, 257",14.0,31.0,31.0,31.0
"209, 257",15.0,21.0,21.0,21.0
"200, 257",18.0,36.0,36.0,36.0
"197, 257",16.0,39.0,39.0,39.0
"161, 257",9.0,9.0,15.0,15.0
"158, 257",57.0,65.0,65.0,66.0
"251, 254",89.0,90.0,94.0,94.0
"248, 254",31.0,39.0,46.0,69.0
"239, 254",82.0,82.0,82.0,82.0
"230, 254",37.0,66.0,66.0,66.0
"227, 254",41.0,70.0,70.0,70.0
"212, 254",13.0,21.0,21.0,21.0
"209, 254",15.0,15.0,15.0,15.0
"200, 254",20.0,29.0,29.0,29.0
"197, 254",19.0,31.0,31.0,31.0
"161, 254",6.0,6.0,8.0,9.0
"158, 254",53.0,53.0,54.0,54.0
"248, 251",80.0,80.0,94.0,99.0
"242, 251",86.0,96.0,96.0,96.0
"239, 251",89.0,99.0,99.0,99.0
"230, 251",91.0,98.0,98.0,98.0
"227, 251",91.0,97.0,99.0,99.0
"212, 251",69.0,71.0,87.0,89.0
"209, 251",66.0,66.0,84.0,86.0
"200, 251",72.0,81.0,90.0,90.0
"197, 251",69.0,93.0,93.0,93.0
"161, 251",32.0,32.0,76.0,82.0
"158, 251",92.0,92.0,97.0,97.0
"242, 248",23.0,54.0,62.0,76.0
"239, 248",84.0,84.0,88.0,94.0
"230, 248",52.0,64.0,74.0,87.0
"227, 248",40.0,60.0,75.0,89.0
"212, 248",4.0,18.0,34.0,54.0
"209, 248",10.0,15.0,22.0,47.0
"200, 248",9.0,27.0,38.0,62.0
"197, 248",9.0,45.0,45.0,66.0
"161, 248",3.0,3.0,15.0,39.0
"158, 248",42.0,42.0,64.0,83.0
"239, 242",69.0,87.0,87.0,87.0
"230, 242",6.0,76.0,76.0,76.0
"227, 242",41.0,79.0,79.0,79.0
"212, 242",17.0,36.0,36.0,36.0
"209, 242",11.0,29.0,29.0,29.0
"200, 242",11.0,43.0,43.0,43.0
"197, 242",11.0,47.0,47.0,47.0
"161, 242",6.0,10.0,18.0,18.0
"158, 242",55.0,66.0,70.0,70.0
"230, 239",72.0,93.0,93.0,93.0
"227, 239",85.0,95.0,95.0,95.0
"212, 239",70.0,71.0,71.0,71.0
"209, 239",51.0,66.0,66.0,66.0
"200, 239",64.0,73.0,73.0,73.0
"197, 239",61.0,79.0,79.0,79.0
"161, 239",34.0,34.0,54.0,54.0
"158, 239",90.0,90.0,90.0,90.0
"212, 230",37.0,50.0,52.0,52.0
"209, 230",21.0,43.0,43.0,43.0
"200, 230",6.0,56.0,56.0,56.0
"197, 230",6.0,62.0,62.0,62.0
"161, 230",6.0,16.0,36.0,36.0
"158, 230",60.0,78.0,82.0,82.0
"212, 227",35.0,45.0,56.0,56.0
"209, 227",37.0,39.0,50.0,50.0
"200, 227",37.0,58.0,66.0,66.0
"197, 227",36.0,69.0,69.0,69.0
"161, 227",12.0,12.0,39.0,43.0
"158, 227",75.0,75.0,84.0,84.0
"197, 212",2.0,18.0,18.0,18.0
"161, 212",1.0,1.0,3.0,3.0
"158, 212",26.0,26.0,42.0,43.0
"197, 209",3.0,12.0,12.0,12.0
"161, 209",0.0,0.0,0.0,1.0
"158, 209",23.0,23.0,33.0,33.0
"197, 200",3.0,24.0,24.0,24.0
"161, 200",2.0,2.0,3.0,4.0
"158, 200",37.0,37.0,50.0,50.0
"161, 197",0.0,6.0,6.0,6.0
"158, 197",37.0,52.0,52.0,52.0
"158, 161",6.0,6.0,22.0,29.0
